report_type,category,criterion,additional_terms,description
CSR Report,Institutional and Governance,Materiality Assessment,"community feedback, ethical priorities","Focus on societal stakeholder input."
CSR Report,Institutional and Governance,Sustainability Strategy/Principles,"philanthropy, ethical goals","CSR-driven sustainability, not just ESG."
CSR Report,Institutional and Governance,Management Approach to Material Topics,"community focus, ethical management","Approach emphasizes social responsibility."
CSR Report,Institutional and Governance,"Governance Structure (Economic, Environmental, Social)","community oversight, ethical leadership","Governance includes social/ethical focus."
CSR Report,Institutional and Governance,"Key Impacts, Risks, Opportunities","social impact, community benefits","Impacts tied to social good."
CSR Report,Institutional and Governance,"Anti-Fraud, Anti-Corruption, Anti-Competitive Practices","ethical conduct, community trust","Ethics for societal trust, not just compliance."
CSR Report,Economic,Direct Economic Performance,"charitable giving, social investments","Economic performance via CSR contributions."
CSR Report,Economic,Indirect Economic Performance,"local jobs, community support","Economic impact through community benefits."
CSR Report,Environmental,Energy Consumption and Efficiency,"community energy projects, green initiatives","Energy use supports community sustainability."
CSR Report,Environmental,"Water Management (Use, Wastewater, Recycling)","local water projects, conservation","Water efforts benefit local communities."
CSR Report,Environmental,Greenhouse Gas Emissions,"local carbon reduction, offsets","Emissions focus on community-level impact."
CSR Report,Environmental,"Other Emissions and Effluents (e.g., NOx, SOx)","local air quality, pollution control","Focus on community environmental health."
CSR Report,Environmental,"Waste Management (Hazardous and Recycling)","community recycling, waste programs","Waste management aids community efforts."
CSR Report,Environmental,Hazardous Chemicals and Substances,"community safety, eco-friendly","Reduces harm to local communities."
CSR Report,Social,Occupational Health and Safety,"community safety, employee wellness","Safety extends to community impact."
CSR Report,Social,Employee Data by Contract Type and Gender,"community hiring, diversity","Demographics reflect community inclusion."
CSR Report,Social,Employee Training,"volunteer training, CSR skills","Training supports CSR activities."
CSR Report,Social,Unfair Labor Practices and Human Rights,"ethical labor, community rights","Strong focus on human rights."
CSR Report,Social,"Diversity, Equal Opportunity, Discrimination","community diversity, social equity","Diversity as a CSR goal."
CSR Report,Social,Worker Rights and Collective Agreements,"worker empowerment, fair wages","Supports worker rights for social good."